"","Site","Depth","Temp","Sal","Oxy","Fluor"
"1","Catalina",1,17.2,33.86,222.41178,0.4
"2","PortofLA",1,16.34,33.13,230.00415,6.6
"3","SPOT",1,17.1185,33.3247,228.6777183,0.2368
"4","SPOT",3,17.0774,33.3242,228.083727,NA
"5","SPOT",4,17.0369,33.3244,228.4186845,NA
"6","SPOT",5,17.0173,33.3239,231.5538867,NA
"7","SPOT",6,16.9532,33.3226,225.7032957,0.002
"8","SPOT",7,16.9306,33.3243,226.386609,0.0069
"9","SPOT",8,16.9261,33.3246,226.207965,0.0333
"10","SPOT",9,16.9193,33.3251,225.9891261,0.0398
"11","SPOT",10,16.919,33.3253,226.3642785,0.0533
"12","SPOT",11,16.9166,33.3256,225.2611518,0.0584
"13","SPOT",12,16.9081,33.3255,229.1823876,0.0648
"14","SPOT",13,16.9053,33.3258,225.0557112,0.0847
"15","SPOT",14,16.9034,33.326,223.9481184,0.0603
"16","SPOT",15,16.9016,33.3259,228.9188877,0.0611
"17","SPOT",16,16.8814,33.3239,225.0780417,0.071
"18","SPOT",17,16.8597,33.3205,226.1677701,0.0674
"19","SPOT",18,16.856,33.3212,223.4881101,0.07
"20","SPOT",19,16.812,33.3154,227.2396341,0.064
"21","SPOT",20,16.7547,33.3063,228.7849047,0.1063
"22","SPOT",21,16.2165,33.273,246.0151185,0.117
"23","SPOT",22,15.8306,33.2751,250.4812185,0.1676
"24","SPOT",23,15.6963,33.2749,253.808463,0.1939
"25","SPOT",24,15.3061,33.2219,255.996852,0.2359
"26","SPOT",25,14.4844,33.2215,265.0719672,0.2636
"27","SPOT",26,14.0787,33.2238,261.1953924,0.3229
"28","SPOT",27,13.8812,33.2322,256.5417162,0.4922
"29","SPOT",28,13.6966,33.2455,254.9607168,0.6768
"30","SPOT",29,13.4976,33.2444,249.3066342,0.6862
"31","SPOT",30,13.3214,33.2438,243.3711873,0.8006
"32","SPOT",31,13.0526,33.2605,238.8648924,0.8324
"33","SPOT",32,12.9167,33.2663,232.4873016,0.8444
"34","SPOT",33,12.7972,33.2511,230.6874633,0.9273
"35","SPOT",34,12.6297,33.229,226.2392277,0.9827
"36","SPOT",35,12.4619,33.2241,224.2920081,NA
"37","SPOT",36,12.3225,33.2262,220.491357,1.1025
"38","SPOT",37,12.0605,33.2546,216.3870111,1.0718
"39","SPOT",38,11.9435,33.2665,212.3496567,1.0847
"40","SPOT",39,11.8902,33.275,210.2282592,1.0745
"41","SPOT",40,11.8497,33.289,206.9099469,1.1248
"42","SPOT",41,11.806,33.3077,204.6009732,1.1481
"43","SPOT",42,11.7813,33.3122,202.7877366,1.0409
"44","SPOT",43,11.6577,33.3221,199.2863142,1.0545
"45","SPOT",44,11.5551,33.3354,197.3256963,1.0054
"46","SPOT",45,11.4922,33.3437,196.0707222,0.9725
"47","SPOT",46,11.4361,33.3473,194.3021466,0.9494
"48","SPOT",47,11.3724,33.3562,192.6318252,0.6433
"49","SPOT",48,11.3701,33.3601,191.7162747,0.6725
"50","SPOT",49,11.3367,33.3633,190.2469278,0.6391
"51","SPOT",50,11.3064,33.3688,188.7954453,0.6338
"52","SPOT",51,11.2936,33.3689,187.3439628,0.5909
"53","SPOT",52,11.1547,33.3694,186.147048,0.5664
"54","SPOT",53,10.9737,33.3942,183.5522439,NA
"55","SPOT",54,10.8998,33.4066,181.9623123,0.5477
"56","SPOT",55,10.8233,33.4194,179.9257707,0.5928
"57","SPOT",56,10.7561,33.438,178.2375849,0.6252
"58","SPOT",57,10.703,33.4547,176.4332805,NA
"59","SPOT",58,10.6869,33.4602,175.5266622,0.5651
