RUN,BASES,BIOPROJECT,BIOSAMPLE,DATE,EXPERIMENT,LAT_LON,LIBRARY,SAMPLENAME,DEPTH,SAMPLE_ID_PARSED,DEPTH_CATEGORY,REGION,PACIFIC_REGION,MONTH
SRR5799332,21179947000,PRJNA391503,SAMN07269832,2015-05-20,SRX2978825,33.55 N 118.40 W,SPOT_150m_25,CA_SPOT_150_May,150,SPOT 150 m,150 m,SPOT,CA,May
SRR5799333,13838597000,PRJNA391503,SAMN07269833,2015-05-20,SRX2978824,33.55 N 118.40 W,SPOT_150m_26,CA_SPOT_150_May,150,SPOT 150 m,150 m,SPOT,CA,May
SRR5799334,8449256000,PRJNA391503,SAMN07269830,2015-05-20,SRX2978823,33.55 N 118.40 W,SPOT_surface_11,CA_SPOT_5_May,5,SPOT surface,surface,SPOT,CA,May
SRR5799335,7203720250,PRJNA391503,SAMN07269831,2015-05-20,SRX2978822,33.55 N 118.40 W,SPOT_surface_12,CA_SPOT_5_May,5,SPOT surface,surface,SPOT,CA,May
SRR5799336,8523152000,PRJNA391503,SAMN07269828,2015-05-20,SRX2978821,33.55 N 118.40 W,SPOT_surface_9,CA_SPOT_5_May,5,SPOT surface,surface,SPOT,CA,May
SRR5799337,10675178500,PRJNA391503,SAMN07269829,2015-05-20,SRX2978820,33.55 N 118.40 W,SPOT_surface_10,CA_SPOT_5_May,5,SPOT surface,surface,SPOT,CA,May
SRR5799338,6490449000,PRJNA391503,SAMN07269826,2015-05-20,SRX2978819,33.55 N 118.40 W,SPOT_surface_7,CA_SPOT_5_May,5,SPOT surface,surface,SPOT,CA,May
SRR5799339,3741887000,PRJNA391503,SAMN07269827,2015-05-20,SRX2978818,33.55 N 118.40 W,SPOT_surface_8,CA_SPOT_5_May,5,SPOT surface,surface,SPOT,CA,May
SRR5799340,24355501250,PRJNA391503,SAMN07269834,2015-05-20,SRX2978817,33.55 N 118.40 W,SPOT_150m_27,CA_SPOT_150_May,150,SPOT 150 m,150 m,SPOT,CA,May
SRR5799341,4599264250,PRJNA391503,SAMN07269835,2015-05-20,SRX2978816,33.55 N 118.40 W,SPOT_890m_28,CA_SPOT_890_May,890,SPOT 890 m,890 m,SPOT,CA,May
SRR5799342,16907100750,PRJNA391503,SAMN07269838,2015-05-20,SRX2978815,33.55 N 118.40 W,SPOT_890m_31,CA_SPOT_890_May,890,SPOT 890 m,890 m,SPOT,CA,May
SRR5799343,20218093250,PRJNA391503,SAMN07269836,2015-05-20,SRX2978814,33.55 N 118.40 W,SPOT_890m_29,CA_SPOT_890_May,890,SPOT 890 m,890 m,SPOT,CA,May
SRR5799344,15436881250,PRJNA391503,SAMN07269837,2015-05-20,SRX2978813,33.55 N 118.40 W,SPOT_890m_30,CA_SPOT_890_May,890,SPOT 890 m,890 m,SPOT,CA,May
SRR6048892,35787763750,PRJNA406025,SAMN07647721,2016-03-27,SRX3195839,24.54987 N 156.33178 W,March_surface_Rep1,NPSG_ALOHA_5_March,5,March ALOHA surface,surface,ALOHA,NPSG,March
SRR6048893,28071351250,PRJNA406025,SAMN07647720,2016-03-27,SRX3195838,24.54987 N 156.33178 W,March_150m,NPSG_ALOHA_150_March,150,March ALOHA 150 m,150 m,ALOHA,NPSG,March
SRR6048895,30540287750,PRJNA406025,SAMN07647718,2015-07-30,SRX3195836,24.54987 N 156.33178 W,July_DCM_Rep2,NPSG_ALOHA_119_July,119,July ALOHA DCM,DCM,ALOHA,NPSG,July
SRR6048896,33698315000,PRJNA406025,SAMN07647717,2015-07-30,SRX3195835,24.54987 N 156.33178 W,July_DCM_Rep1,NPSG_ALOHA_119_July,119,July ALOHA DCM,DCM,ALOHA,NPSG,July
SRR6048898,36858334750,PRJNA406025,SAMN07647715,2015-07-30,SRX3195833,24.54987 N 156.33178 W,July_surface_Rep1,NPSG_ALOHA_5_July,5,July ALOHA surface,surface,ALOHA,NPSG,July
SRR6048900,22179808750,PRJNA406025,SAMN07647713,2015-07-30,SRX3195831,24.54987 N 156.33178 W,July_1000m,NPSG_ALOHA_1000_July,1000,July ALOHA 1000 m,1000 m,ALOHA,NPSG,July
