Location	Depth	Note	Type	Unit	Value	Source
Catalina	surface		NH4	μM	1.04	our lab
Port of LA	surface		NH4	μM	3.32	our lab
SPOT	150		NH4	μM	0.06	our lab
SPOT	885		NH4	μM	7.88	our lab
SPOT	surface		NH4	μM	0.00	Fuhrman lab
ALOHA	150	Averaged July and March	Chlorophyll	uG/L	0.42445	SCOPE Core (CTD upcast)
ALOHA	150	Averaged July and March	Chlorophyll	μg/l	0.113146608	SCOPE Core (CTD upcast)
ALOHA	1000	Averaged July and March	Chlorophyll	uG/L	0.0955	SCOPE Core (CTD upcast)
ALOHA	DCM	Averaged July and March	Chlorophyll	uG/L	0.5714	SCOPE Core (CTD upcast)
ALOHA	DCM	Averaged July and March	Chlorophyll	μg/l	0.442032026	SCOPE Core (CTD upcast)
ALOHA	surface	Averaged July and March	Chlorophyll	uG/L	0.17495	SCOPE Core (CTD upcast)
ALOHA	surface	Averaged July and March	Chlorophyll	μg/l	0.100569577	SCOPE Core (CTD upcast)
ALOHA July	150		Chlorophyll	uG/L	0.5143	SCOPE Core (CTD upcast)
ALOHA July	150	same day, separate cast	Chlorophyll	μg/l	0.0862	SCOPE Core (CTD upcast)
ALOHA July	1000		Chlorophyll	uG/L	0.1235	SCOPE Core (CTD upcast)
ALOHA July	DCM		Chlorophyll	uG/L	0.9009	SCOPE Core (CTD upcast)
ALOHA July	DCM	same day, separate cast, SIMILAR depth	Chlorophyll	μg/l	0.1687	SCOPE Core (CTD upcast)
ALOHA July	surface		Chlorophyll	uG/L	0.2553	SCOPE Core (CTD upcast)
ALOHA July	surface	same day, separate cast	Chlorophyll	μg/l	0.1282	SCOPE Core (CTD upcast)
ALOHA March	150		Chlorophyll	uG/L	0.3346	SCOPE Core (CTD upcast)
ALOHA March	150	separate cast and day (2 day)	Chlorophyll	μg/l	0.1401	SCOPE Core (CTD upcast)
ALOHA March	1000		Chlorophyll	uG/L	0.0675	SCOPE Core (CTD upcast)
ALOHA March	DCM	separate cast and day (2 day)	Chlorophyll	μg/l	0.2420	SCOPE Core (CTD upcast)
ALOHA March	DCM		Chlorophyll	uG/L	0.7154	SCOPE Core (CTD upcast)
ALOHA March	surface		Chlorophyll	uG/L	0.0946	SCOPE Core (CTD upcast)
ALOHA March	surface	separate cast and day (2 day)	Chlorophyll	μg/l	0.0730	SCOPE Core (CTD upcast)
Catalina	surface		Chlorophyll	μg/l	0.40	our lab
Port of LA	surface		Chlorophyll	μg/l	6.60	our lab
SPOT	150		Chlorophyll	μg/l	0.01	our lab
SPOT	885		Chlorophyll	μg/l	0.01	our lab
SPOT	surface		Chlorophyll	μg/l	0.20	our lab
ALOHA July	water col	1: 0.125 kg/m3 density offset from 1 db	Mixed Layer Depth	m	36	SCOPE Core (CTD upcast)
ALOHA July	water col	2: 0.5   deg C temperature offset from 1 db	Mixed Layer Depth	m	36	SCOPE Core (CTD upcast)
ALOHA July	water col	3: 0.03  kg/m3 density offset from 10 db	Mixed Layer Depth	m	21	SCOPE Core (CTD upcast)
ALOHA March	water col	1: 0.125 kg/m3 density offset from 1 db	Mixed Layer Depth	m	25	SCOPE Core (CTD upcast)
ALOHA March	water col	2: 0.5   deg C temperature offset from 1 db	Mixed Layer Depth	m	44	SCOPE Core (CTD upcast)
ALOHA March	water col	3: 0.03  kg/m3 density offset from 10 db	Mixed Layer Depth	m	12	SCOPE Core (CTD upcast)
ALOHA March	150	separate cast, same day	NH4	μM	0.00104	Karl lab (Curless processed)- average from reps
ALOHA March	DCM	separate cast, same day	NH4	μM	0.15	Karl lab (Curless processed)
ALOHA March	surface	separate cast, same day	NH4	μM	0.02	Karl lab (Curless processed)
Catalina	surface		Nitrate	μM	0.15	our lab
Port of LA	surface		Nitrate	μM	-0.12	our lab
SPOT	150		Nitrate	μM	0.12	our lab
SPOT	885		Nitrate	μM	-0.27	our lab
SPOT	surface		Nitrate	μM	0.25	our lab
Catalina	surface		Nitrate and nitrite	μmol/l	0.34	our lab
Port of LA	surface		Nitrate and nitrite	μmol/l	0.27	our lab
SPOT	150		Nitrate and nitrite	μmol/l	27.37	our lab
SPOT	885		Nitrate and nitrite	μmol/l	38.22	our lab
SPOT	surface		Nitrate and nitrite	μmol/l	1.17	our lab
ALOHA July	150	same day, separate cast	Nitrate and nitrite	μmol/l	0.659	SCOPE Core (CTD upcast)
ALOHA July	DCM	same day, separate cast, SIMILAR depth	Nitrate and nitrite	μmol/l	0.18	SCOPE Core (CTD upcast)
ALOHA July	surface	same day, separate cast	Nitrate and nitrite	μmol/l	0.011	BD- (use LLN) SCOPE Core (CTD upcast)
ALOHA March	150	separate cast and day (2 day)	Nitrate and nitrite	μmol/l	0.490	SCOPE Core (CTD upcast)
ALOHA March	DCM	separate cast and day (2 day)	Nitrate and nitrite	μmol/l	0.068	SCOPE Core (CTD upcast)
ALOHA March	surface	separate cast and day (2 day)	Nitrate and nitrite	μmol/l	0.055	SCOPE Core (CTD upcast)
Catalina	surface		Nitrite	μM	0.08	our lab
Port of LA	surface		Nitrite	μM	0.12	our lab
SPOT	150		Nitrite	μM	0.10	our lab
SPOT	885		Nitrite	μM	0.13	our lab
SPOT	surface		Nitrite	μM	0.08	our lab
