Depth	ALOHAMarch
1	0.0886
3	0.0962
4	0.0908
5	0.0946
6	0.0966
7	0.0954
8	0.0953
9	0.1107
10	0.0966
11	0.1038
12	0.1038
13	0.0999
14	0.1075
15	0.1169
16	0.1126
17	0.1227
18	0.1169
19	0.1176
20	0.116
21	0.1151
22	0.1188
23	0.1219
24	0.1208
25	0.1221
26	0.1203
27	0.1224
28	0.1228
29	0.1227
30	0.1236
31	0.1227
32	0.1236
33	0.1344
34	0.1312
36	0.1344
37	0.1397
38	0.1397
39	0.1416
40	0.1499
41	0.1473
42	0.1529
43	0.152
44	0.1643
45	0.1623
46	0.1586
47	0.1611
48	0.1832
49	0.1851
50	0.1775
51	0.1775
52	0.1794
54	0.2009
55	0.1958
56	0.2077
58	0.2116
59	0.2173
60	0.2262
62	0.2305
63	0.2305
64	0.2423
65	0.2872
66	0.2911
67	0.2702
68	0.292
69	0.3137
70	0.3042
71	0.307
72	0.3066
74	0.327
75	0.3344
76	0.3303
77	0.3396
78	0.3685
79	0.3704
80	0.363
81	0.3603
82	0.3969
83	0.4158
84	0.3761
85	0.3667
86	0.371
87	0.4386
88	0.4234
89	0.4254
90	0.4522
91	0.5427
92	0.5738
93	0.5634
94	0.5805
95	0.5828
97	0.639
99	0.7052
100	0.7053
101	0.8321
102	0.8471
103	0.8528
104	0.7941
105	0.8003
106	0.7998
108	0.83
109	0.7967
110	0.7809
112	0.798
113	0.7941
114	0.815
115	0.7949
116	0.7879
117	0.7668
118	0.7487
119	0.6932
120	0.7154
121	0.7101
122	0.6838
123	0.6567
124	0.6339
125	0.6159
126	0.6183
127	0.6235
128	0.5987
129	0.597
130	0.554
131	0.5016
132	0.4726
133	0.4911
134	0.4358
135	0.444
136	0.4141
137	0.4105
138	0.4015
139	0.409
140	0.3856
141	0.3907
142	0.3383
144	0.3312
145	0.3383
147	0.327
148	0.3417
149	0.3295
150	0.3346
151	0.3447
152	0.3388
153	0.3168
154	0.3106
155	0.325
156	0.3174
157	0.3186
158	0.3194
159	0.3204
160	0.3213
161	0.3155
162	0.2966
163	0.3042
164	0.2531
165	0.2655
166	0.2513
168	0.2342
170	0.2077
171	0.187
173	0.1643
174	0.1902
175	0.1473
176	0.1397
178	0.151
180	0.1358
182	0.1358
183	0.1434
184	0.1321
185	0.1453
186	0.1303
188	0.1303
189	0.1358
190	0.1358
191	0.1349
192	0.1321
193	0.1208
195	0.1284
196	0.1284
197	0.1056
198	0.1038
199	0.1056
200	0.1018
201	0.0962
202	0.0962
203	0.0904
204	0.0867
206	0.0849
208	0.0867
209	0.0838
210	0.0874
211	0.0849
213	0.0791
214	0.0773
216	0.0773
217	0.0773
219	0.074
220	0.0706
221	0.0678
223	0.066
225	0.0715
226	0.0621
227	0.064
228	0.0647
229	0.0602
231	0.0565
232	0.0584
234	0.0584
235	0.0565
236	0.0584
237	0.0545
238	0.0565
239	0.0575
240	0.0526
241	0.0565
243	0.0545
245	0.0526
246	0.0526
247	0.0545
248	0.0508
249	0.0508
250	0.0508
251	0.0508
253	0.0508
254	0.0526
256	0.0508
257	0.0508
258	0.0508
259	0.0489
260	0.0517
261	0.0489
262	0.0489
264	0.0489
265	0.0508
267	0.0489
268	0.0489
269	0.0499
270	0.0508
271	0.0489
273	0.0489
274	0.0489
275	0.0489
276	0.0471
277	0.0451
278	0.0471
279	0.0471
280	0.0471
281	0.0471
282	0.0471
284	0.0451
285	0.0471
286	0.0471
287	0.0451
288	0.0489
289	0.0471
290	0.0471
291	0.0432
292	0.0471
293	0.0489
294	0.0471
295	0.0451
296	0.0451
297	0.0451
299	0.0451
300	0.0471
301	0.0451
302	0.0451
303	0.0471
304	0.0451
305	0.0451
307	0.0471
309	0.0451
311	0.0451
312	0.0451
313	0.0455
314	0.0451
315	0.0451
317	0.0451
319	0.0471
321	0.0471
322	0.0471
323	0.0463
324	0.0451
325	0.0451
326	0.0432
327	0.0451
329	0.0471
330	0.0471
331	0.0471
332	0.0471
333	0.0471
334	0.0526
335	0.0489
336	0.048
337	0.0471
338	0.0508
339	0.0489
341	0.0489
342	0.0471
343	0.0471
344	0.0471
346	0.0471
347	0.0508
348	0.0489
349	0.0489
350	0.0489
351	0.0489
352	0.0483
353	0.0489
355	0.0508
357	0.0526
359	0.0508
361	0.0516
362	0.0526
364	0.0526
366	0.0508
368	0.0508
369	0.0526
370	0.0499
371	0.0508
372	0.0508
374	0.0508
375	0.0489
377	0.0489
378	0.0508
379	0.0508
380	0.0508
381	0.0508
382	0.0508
383	0.0508
384	0.0508
386	0.0508
387	0.0526
388	0.0499
389	0.0508
390	0.0508
392	0.0508
393	0.0526
395	0.0526
396	0.0526
397	0.0526
398	0.0514
399	0.0508
400	0.0526
402	0.0526
404	0.0526
405	0.0526
406	0.0522
407	0.0508
409	0.0526
411	0.0526
413	0.0526
415	0.052
416	0.0526
417	0.0526
419	0.0526
421	0.0526
423	0.0545
424	0.0565
425	0.0545
426	0.0545
427	0.0545
429	0.0545
431	0.0526
433	0.0545
434	0.0545
435	0.0565
436	0.0545
437	0.0545
439	0.0565
441	0.0565
443	0.0565
444	0.0545
445	0.0545
446	0.0561
447	0.0565
448	0.0565
451	0.0545
453	0.0565
454	0.0575
455	0.0571
456	0.0565
458	0.0584
460	0.0584
462	0.0565
463	0.0588
464	0.0584
465	0.0584
467	0.0584
469	0.0602
471	0.0593
472	0.0593
473	0.059
476	0.0584
479	0.0602
481	0.0602
482	0.0602
484	0.0602
485	0.0602
487	0.0602
488	0.0584
489	0.0602
490	0.0593
491	0.0602
492	0.0602
494	0.0602
495	0.0602
496	0.0602
497	0.0609
498	0.0621
499	0.0602
501	0.0602
503	0.0621
504	0.0621
506	0.0621
507	0.0621
508	0.0621
509	0.0621
511	0.0621
513	0.0621
514	0.0621
515	0.0621
516	0.0621
517	0.0621
518	0.0621
519	0.0621
520	0.064
521	0.0621
522	0.064
523	0.064
524	0.0621
525	0.064
526	0.064
527	0.064
528	0.064
530	0.064
531	0.064
532	0.0627
533	0.064
534	0.064
535	0.0621
537	0.064
539	0.064
540	0.064
541	0.064
542	0.064
543	0.064
544	0.064
546	0.064
547	0.064
548	0.066
549	0.064
550	0.064
551	0.064
552	0.064
554	0.064
555	0.064
556	0.066
557	0.066
558	0.066
559	0.065
560	0.064
561	0.066
562	0.066
564	0.066
565	0.066
566	0.066
567	0.066
568	0.066
569	0.066
570	0.066
572	0.0678
573	0.066
574	0.066
575	0.066
576	0.0669
577	0.066
578	0.066
580	0.066
581	0.0678
583	0.0672
584	0.0678
586	0.066
587	0.066
589	0.066
591	0.0678
592	0.0678
593	0.0678
594	0.0678
595	0.0678
596	0.0678
597	0.0678
598	0.0678
600	0.0678
602	0.0678
603	0.0678
604	0.0678
605	0.0678
607	0.0678
608	0.0678
610	0.0678
612	0.0678
613	0.0685
614	0.0678
616	0.0678
617	0.066
619	0.0678
620	0.0697
621	0.0678
622	0.0678
623	0.0688
625	0.0678
626	0.0678
628	0.0678
629	0.0678
630	0.0678
631	0.0678
632	0.0678
633	0.0678
635	0.0678
637	0.0697
639	0.0678
640	0.0678
641	0.0678
644	0.0697
646	0.0678
648	0.0697
649	0.0691
650	0.0678
651	0.0678
653	0.0697
655	0.0697
657	0.0678
658	0.0691
659	0.0678
660	0.0678
662	0.0697
665	0.0678
666	0.0678
667	0.0683
668	0.0678
670	0.0697
672	0.0678
674	0.0697
675	0.0691
676	0.0678
677	0.0697
679	0.0678
681	0.0678
683	0.0697
684	0.0678
685	0.0691
686	0.0697
688	0.0678
689	0.0678
690	0.0697
692	0.0678
694	0.0697
695	0.0678
696	0.0688
697	0.0697
698	0.0697
700	0.0678
701	0.0697
703	0.0697
704	0.0678
706	0.0697
707	0.0691
708	0.0688
709	0.0678
711	0.0697
712	0.0697
714	0.0697
715	0.0697
716	0.0697
717	0.0678
718	0.0697
719	0.0697
720	0.0697
722	0.0697
723	0.0678
724	0.0678
725	0.0697
726	0.0715
727	0.0697
728	0.0697
729	0.0697
731	0.0697
732	0.0697
733	0.0697
734	0.0688
735	0.0678
736	0.0697
738	0.0697
740	0.0678
741	0.0678
742	0.0697
743	0.0688
744	0.0688
745	0.0697
747	0.0697
748	0.0697
750	0.0697
751	0.0697
752	0.0697
753	0.0697
754	0.0697
755	0.0697
757	0.0697
759	0.0697
761	0.0688
762	0.0691
763	0.0697
765	0.0697
767	0.0715
768	0.0678
769	0.0697
770	0.0691
771	0.0697
772	0.0697
774	0.0678
776	0.0678
777	0.0697
778	0.0697
779	0.0678
780	0.0678
781	0.0697
783	0.0678
784	0.0697
786	0.0697
787	0.0678
788	0.0697
789	0.0688
790	0.0678
792	0.0697
793	0.0697
794	0.0697
795	0.0678
796	0.0678
797	0.0697
798	0.0697
799	0.0678
800	0.0678
801	0.0697
802	0.0697
803	0.0697
804	0.0697
805	0.0678
806	0.0678
807	0.0697
808	0.0697
809	0.0697
810	0.0697
811	0.0697
812	0.0697
813	0.0678
814	0.0678
815	0.0678
816	0.0697
817	0.0678
818	0.0678
819	0.0678
820	0.0697
821	0.0697
822	0.0697
823	0.0685
824	0.0697
826	0.0715
828	0.0697
830	0.0697
831	0.0685
832	0.0697
833	0.0678
835	0.0678
837	0.0678
839	0.0697
840	0.0697
841	0.0697
842	0.0678
844	0.0678
846	0.0697
848	0.0678
849	0.0697
850	0.0683
851	0.0678
853	0.0697
855	0.0697
857	0.0697
858	0.0697
859	0.0691
860	0.0678
861	0.0697
862	0.0678
865	0.0678
866	0.0678
868	0.0678
869	0.0697
870	0.0678
872	0.0678
874	0.0678
876	0.0697
877	0.0697
878	0.0697
880	0.0678
882	0.0697
884	0.0678
885	0.0697
886	0.0678
887	0.0692
888	0.0697
890	0.0697
893	0.0678
894	0.0685
895	0.0703
897	0.0697
899	0.0678
901	0.0697
903	0.0694
904	0.0678
906	0.0697
908	0.0697
910	0.0678
911	0.0688
912	0.0691
913	0.0678
915	0.0697
916	0.0678
918	0.0697
919	0.0678
920	0.0678
921	0.0685
922	0.0697
923	0.0678
924	0.0678
926	0.0678
928	0.0697
929	0.0678
930	0.0678
931	0.0688
932	0.0697
933	0.0697
935	0.0678
937	0.0678
938	0.0678
939	0.0688
940	0.0697
941	0.0678
942	0.0697
944	0.0678
946	0.0678
947	0.0685
948	0.0678
949	0.0678
951	0.0678
952	0.0678
954	0.0678
955	0.0678
956	0.0678
957	0.0678
958	0.0678
960	0.0678
962	0.0678
964	0.0678
965	0.0678
966	0.0678
967	0.0678
968	0.0678
969	0.0678
970	0.0678
971	0.0678
972	0.0678
974	0.0678
975	0.0678
976	0.066
977	0.066
978	0.0678
980	0.0678
981	0.0678
982	0.0678
983	0.0678
984	0.0697
986	0.0678
987	0.0678
988	0.066
989	0.0678
990	0.0669
991	0.0678
992	0.0678
993	0.0678
994	0.0678
995	0.0669
996	0.0678
997	0.0678
998	0.0669
999	0.0685
1000	0.0675
1001	0.0678
1002	0.0678
1003	0.0678
