"","RUN","SAMN","SAMPLE","Sample","Replicate","BASES","BIOPROJECT","BIOSAMPLE","DATE","EXPERIMENT","LAT_LON","LIBRARY","SAMPLENAME","DEPTH","SAMPLE_ID_PARSED","DEPTH_CATEGORY","REGION","PACIFIC_REGION","MONTH","LIGHT"
"1","SRR6048900","SAMN07647713","July_1000m_Rep1andRep2","July_1000m","Rep1andRep2",22179808750,"PRJNA406025","SAMN07647713","2015-07-30","SRX3195831","24.54987 N 156.33178 W","July_1000m","NPSG_ALOHA_1000_July",1000,"July ALOHA 1000 m","1000 m","ALOHA","NPSG","July","Sub-euphotic"
"2","SRR6048899","SAMN07647714","July_150m_Rep1andRep2","July_150m","Rep1andRep2",22251034000,"PRJNA406025","SAMN07647714","2015-07-30","SRX3195832","24.54987 N 156.33178 W","July_150m","NPSG_ALOHA_150_July",150,"July ALOHA 150 m","150 m","ALOHA","NPSG","July","Euphotic"
"3","SRR6048898","SAMN07647715","July_5m_Rep1","July_5m","Rep1",36858334750,"PRJNA406025","SAMN07647715","2015-07-30","SRX3195833","24.54987 N 156.33178 W","July_surface_Rep1","NPSG_ALOHA_5_July",5,"July ALOHA surface","surface","ALOHA","NPSG","July","Euphotic"
"4","SRR6048897","SAMN07647716","July_5m_Rep2","July_5m","Rep2",28427020000,"PRJNA406025","SAMN07647716","2015-07-30","SRX3195834","24.54987 N 156.33178 W","July_surface_Rep2","NPSG_ALOHA_5_July",5,"July ALOHA surface","surface","ALOHA","NPSG","July","Euphotic"
"5","SRR6048896","SAMN07647717","July_DCM_Rep1","July_DCM","Rep1",33698315000,"PRJNA406025","SAMN07647717","2015-07-30","SRX3195835","24.54987 N 156.33178 W","July_DCM_Rep1","NPSG_ALOHA_119_July",119,"July ALOHA DCM","DCM","ALOHA","NPSG","July","Euphotic"
"6","SRR6048895","SAMN07647718","July_DCM_Rep2","July_DCM","Rep2",30540287750,"PRJNA406025","SAMN07647718","2015-07-30","SRX3195836","24.54987 N 156.33178 W","July_DCM_Rep2","NPSG_ALOHA_119_July",119,"July ALOHA DCM","DCM","ALOHA","NPSG","July","Euphotic"
"7","SRR6048894","SAMN07647719","March_1000m_Rep1andRep2","March_1000m","Rep1andRep2",10727941750,"PRJNA406025","SAMN07647719","2016-03-27","SRX3195837","24.54987 N 156.33178 W","March_1000m","NPSG_ALOHA_1000_March",1000,"March ALOHA 1000 m","1000 m","ALOHA","NPSG","March","Sub-euphotic"
"8","SRR6048893","SAMN07647720","March_150m_Rep1andRep2","March_150m","Rep1andRep2",28071351250,"PRJNA406025","SAMN07647720","2016-03-27","SRX3195838","24.54987 N 156.33178 W","March_150m","NPSG_ALOHA_150_March",150,"March ALOHA 150 m","150 m","ALOHA","NPSG","March","Euphotic"
"9","SRR6048892","SAMN07647721","March_5m_Rep1","March_5m","Rep1",35787763750,"PRJNA406025","SAMN07647721","2016-03-27","SRX3195839","24.54987 N 156.33178 W","March_surface_Rep1","NPSG_ALOHA_5_March",5,"March ALOHA surface","surface","ALOHA","NPSG","March","Euphotic"
"10","SRR6048891","SAMN07647722","March_5m_Rep2","March_5m","Rep2",26198209000,"PRJNA406025","SAMN07647722","2016-03-27","SRX3195840","24.54987 N 156.33178 W","March_surface_Rep2","NPSG_ALOHA_5_March",5,"March ALOHA surface","surface","ALOHA","NPSG","March","Euphotic"
"11","SRR6048902","SAMN07647723","March_DCM_Rep1","March_DCM","Rep1",36850615000,"PRJNA406025","SAMN07647723","2016-03-27","SRX3195829","24.54987 N 156.33178 W","March_DCM_Rep1","NPSG_ALOHA_120_March",120,"March ALOHA DCM","DCM","ALOHA","NPSG","March","Euphotic"
"12","SRR6048901","SAMN07647724","March_DCM_Rep2","March_DCM","Rep2",25119184500,"PRJNA406025","SAMN07647724","2016-03-27","SRX3195830","24.54987 N 156.33178 W","March_DCM_Rep2","NPSG_ALOHA_120_March",120,"March ALOHA DCM","DCM","ALOHA","NPSG","March","Euphotic"
"13","SRR11178183","SAMN14206057","Catalina_19","Catalina","19",8956532750,"PRJNA608423","SAMN14206057","2015-05-21","SRX7798845","33.44 N 118.47 W","Catalina_19_S22_L004","CA_Catalina_5_May",5,"Catalina surface","surface","Catalina","CA","May","Euphotic"
"14","SRR11178182","SAMN14206058","Catalina_20","Catalina","20",9890647250,"PRJNA608423","SAMN14206058","2015-05-21","SRX7798846","33.44 N 118.47 W","Catalina_20_S23_L004","CA_Catalina_5_May",5,"Catalina surface","surface","Catalina","CA","May","Euphotic"
"15","SRR11178173","SAMN14206059","Catalina_21","Catalina","21",9213733750,"PRJNA608423","SAMN14206059","2015-05-21","SRX7798855","33.44 N 118.47 W","Catalina_21_S24_L004","CA_Catalina_5_May",5,"Catalina surface","surface","Catalina","CA","May","Euphotic"
"16","SRR11178172","SAMN14206060","Catalina_22","Catalina","22",5346436500,"PRJNA608423","SAMN14206060","2015-05-21","SRX7798856","33.44 N 118.47 W","Catalina_22_S25_L004","CA_Catalina_5_May",5,"Catalina surface","surface","Catalina","CA","May","Euphotic"
"17","SRR11178171","SAMN14206061","Catalina_23","Catalina","23",7289444750,"PRJNA608423","SAMN14206061","2015-05-21","SRX7798857","33.44 N 118.47 W","Catalina_23_S26_L004","CA_Catalina_5_May",5,"Catalina surface","surface","Catalina","CA","May","Euphotic"
"18","SRR11178170","SAMN14206062","Catalina_24","Catalina","24",11865681500,"PRJNA608423","SAMN14206062","2015-05-21","SRX7798858","33.44 N 118.47 W","Catalina_24_S27_L004","CA_Catalina_5_May",5,"Catalina surface","surface","Catalina","CA","May","Euphotic"
"19","SRR11178169","SAMN14206063","PortofLA_1","PortofLA","1",7728633500,"PRJNA608423","SAMN14206063","2015-05-20","SRX7798859","33.71 N 118.26 W","Port_of_LA_1_S1_L001","CA_PortofLA_5_May",5,"Port of LA surface","surface","PortofLA","CA","May","Euphotic"
"20","SRR11178168","SAMN14206064","PortofLA_2","PortofLA","2",9733064500,"PRJNA608423","SAMN14206064","2015-05-20","SRX7798860","33.71 N 118.26 W","Port_of_LA_2_S2_L001","CA_PortofLA_5_May",5,"Port of LA surface","surface","PortofLA","CA","May","Euphotic"
"21","SRR11178167","SAMN14206065","PortofLA_3","PortofLA","3",4491843250,"PRJNA608423","SAMN14206065","2015-05-20","SRX7798861","33.71 N 118.26 W","Port_of_LA_3_S3_L001","CA_PortofLA_5_May",5,"Port of LA surface","surface","PortofLA","CA","May","Euphotic"
"22","SRR11178166","SAMN14206066","PortofLA_4","PortofLA","4",6380099500,"PRJNA608423","SAMN14206066","2015-05-20","SRX7798862","33.71 N 118.26 W","Port_of_LA_4_S4_L001","CA_PortofLA_5_May",5,"Port of LA surface","surface","PortofLA","CA","May","Euphotic"
"23","SRR11178181","SAMN14206067","PortofLA_5","PortofLA","5",7907104250,"PRJNA608423","SAMN14206067","2015-05-20","SRX7798847","33.71 N 118.26 W","Port_of_LA_5_S5_L001","CA_PortofLA_5_May",5,"Port of LA surface","surface","PortofLA","CA","May","Euphotic"
"24","SRR11178180","SAMN14206068","PortofLA_6","PortofLA","6",9629580250,"PRJNA608423","SAMN14206068","2015-05-20","SRX7798848","33.71 N 118.26 W","Port_of_LA_6_S6_L001","CA_PortofLA_5_May",5,"Port of LA surface","surface","PortofLA","CA","May","Euphotic"
"25","SRR5799332","SAMN07269832","SPOT_150m_Rep1and2","SPOT_150m","Rep1and2",21179947000,"PRJNA391503","SAMN07269832","2015-05-20","SRX2978825","33.55 N 118.40 W","SPOT_150m_25","CA_SPOT_150_May",150,"SPOT 150 m","150 m","SPOT","CA","May","Sub-euphotic"
"26","SRR5799333","SAMN07269833","SPOT_150m_Rep3and4","SPOT_150m","Rep3and4",13838597000,"PRJNA391503","SAMN07269833","2015-05-20","SRX2978824","33.55 N 118.40 W","SPOT_150m_26","CA_SPOT_150_May",150,"SPOT 150 m","150 m","SPOT","CA","May","Sub-euphotic"
"27","SRR5799340","SAMN07269834","SPOT_150m_Rep5and6","SPOT_150m","Rep5and6",24355501250,"PRJNA391503","SAMN07269834","2015-05-20","SRX2978817","33.55 N 118.40 W","SPOT_150m_27","CA_SPOT_150_May",150,"SPOT 150 m","150 m","SPOT","CA","May","Sub-euphotic"
"28","SRR5799341","SAMN07269835","SPOT_890m_Rep1and2","SPOT_890m","Rep1and2",4599264250,"PRJNA391503","SAMN07269835","2015-05-20","SRX2978816","33.55 N 118.40 W","SPOT_890m_28","CA_SPOT_890_May",890,"SPOT 890 m","890 m","SPOT","CA","May","Sub-euphotic"
"29","SRR5799343","SAMN07269836","SPOT_890m_Rep3and4","SPOT_890m","Rep3and4",20218093250,"PRJNA391503","SAMN07269836","2015-05-20","SRX2978814","33.55 N 118.40 W","SPOT_890m_29","CA_SPOT_890_May",890,"SPOT 890 m","890 m","SPOT","CA","May","Sub-euphotic"
